request_id,request_date,connector,connector_type,connector_reachable,edge_type,target_entity,target_entity_title,target_entity_company,same_title_family,source_file,relationship_date,recency_days_at_request,availability,confidence,limitations
R1001,2026-04-14,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Sabine Dellinger,Chief Data Officer,Vantage Ridge Utilities,False,connections_aldridge.csv,2022-12-23,1208.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1001,2026-04-14,Tomás Beckett,Internal,True,export_colleague_at_target_account,Sabine Dellinger,Chief Data Officer,Vantage Ridge Utilities,False,connections_beckett.csv,2024-11-09,521.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1001,2026-04-14,Ravi Underhill-Halloran,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Vantage Ridge Utilities,,Vantage Ridge Utilities,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1002,2025-09-14,Curtis Sandoval-Glückstein,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Volney Industrial Systems,,Volney Industrial Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1002,2025-09-14,Priya Dobrescu-Prendergast,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Volney Industrial Systems,,Volney Industrial Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1002,2025-09-14,Bertrand Achterberg-Quillane,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Volney Industrial Systems,,Volney Industrial Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1002,2025-09-14,Freya Oldfield-Ibarra,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Volney Industrial Systems,,Volney Industrial Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1003,2026-03-03,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Niall Grimsby,Chief Data Officer,Redtree Foods,False,connections_aldridge.csv,2020-02-25,2198.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1003,2026-03-03,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Coretta Bellinger,VP Data & Analytics,Redtree Foods,False,connections_raghunathan.csv,2014-07-03,4261.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1003,2026-03-03,Owen Trask,Investor,True,export_colleague_at_target_account,Niall Grimsby,Chief Data Officer,Redtree Foods,False,connections_trask.csv,2017-11-17,3028.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
