connector,on_roster,connector_type,stated_monthly_capacity,asks_recorded,share_of_recorded_asks_pct,active_months,peak_month,peak_month_asks,months_over_capacity,peak_month_over_capacity_by,responded,response_rate_pct,intros_sent,intro_rate_pct,meetings_booked,median_response_days,response_days_coverage,deal_value_asked_usd
Priya Raghunathan,True,Investor,3.0,21,24.7,10,2025-11,4,2.0,1.0,14,66.7,10,47.6,4,7.0,14/21,8460000
Tomás Beckett,True,Internal,8.0,20,23.5,10,2025-09,3,0.0,-5.0,14,70.0,7,35.0,4,2.5,14/20,15770000
Elena Duvall,True,Advisor,3.0,17,20.0,9,2026-06,3,0.0,0.0,11,64.7,6,35.3,3,7.0,11/17,12360000
Marcus Aldridge,True,Advisor,4.0,15,17.6,9,2025-12,3,0.0,-1.0,8,53.3,5,33.3,1,5.0,8/15,13010000
Dana Whitfield,True,Internal,6.0,4,4.7,3,2026-02,2,0.0,-4.0,3,75.0,2,50.0,0,2.0,3/4,2950000
Owen Trask,True,Investor,2.0,3,3.5,3,2025-12,1,0.0,-1.0,1,33.3,0,0.0,0,3.0,1/3,3280000
Bertrand Vandermolen,False,not_on_roster,,1,1.2,1,2026-07,1,,,0,0.0,0,0.0,0,,0/1,150000
Curtis Hartigan,False,not_on_roster,,1,1.2,1,2026-07,1,,,1,100.0,1,100.0,1,11.0,1/1,1200000
Hana Nakashima,False,not_on_roster,,1,1.2,1,2025-10,1,,,1,100.0,0,0.0,0,12.0,1/1,250000
Imani Mkhize,False,not_on_roster,,1,1.2,1,2026-04,1,,,1,100.0,1,100.0,1,11.0,1/1,400000
Yusuf Petrossian,False,not_on_roster,,1,1.2,1,2026-07,1,,,1,100.0,0,0.0,0,5.0,1/1,750000
