connector,month,asks,stated_monthly_capacity,over_capacity,responded,intros_sent
Bertrand Vandermolen,2026-07,1,,False,0,0
Curtis Hartigan,2026-07,1,,False,1,1
Dana Whitfield,2026-01,1,6.0,False,1,1
Dana Whitfield,2026-02,2,6.0,False,1,0
Dana Whitfield,2026-03,1,6.0,False,1,1
Elena Duvall,2025-08,2,3.0,False,1,0
Elena Duvall,2025-11,2,3.0,False,2,0
Elena Duvall,2025-12,1,3.0,False,0,0
Elena Duvall,2026-02,1,3.0,False,1,0
Elena Duvall,2026-03,2,3.0,False,1,1
Elena Duvall,2026-04,2,3.0,False,2,2
Elena Duvall,2026-05,1,3.0,False,1,1
Elena Duvall,2026-06,3,3.0,False,2,2
Elena Duvall,2026-07,3,3.0,False,1,0
Hana Nakashima,2025-10,1,,False,1,0
Imani Mkhize,2026-04,1,,False,1,1
Marcus Aldridge,2025-09,2,4.0,False,2,2
Marcus Aldridge,2025-10,1,4.0,False,1,0
Marcus Aldridge,2025-11,1,4.0,False,0,0
Marcus Aldridge,2025-12,3,4.0,False,1,1
Marcus Aldridge,2026-02,1,4.0,False,1,0
Marcus Aldridge,2026-03,2,4.0,False,1,1
Marcus Aldridge,2026-05,1,4.0,False,1,1
Marcus Aldridge,2026-06,3,4.0,False,0,0
Marcus Aldridge,2026-07,1,4.0,False,1,0
Owen Trask,2025-12,1,2.0,False,1,0
Owen Trask,2026-01,1,2.0,False,0,0
Owen Trask,2026-06,1,2.0,False,0,0
Priya Raghunathan,2025-08,1,3.0,False,1,0
Priya Raghunathan,2025-09,1,3.0,False,1,1
Priya Raghunathan,2025-10,3,3.0,False,1,1
Priya Raghunathan,2025-11,4,3.0,True,2,1
Priya Raghunathan,2025-12,1,3.0,False,1,0
Priya Raghunathan,2026-01,2,3.0,False,1,1
Priya Raghunathan,2026-02,3,3.0,False,1,1
Priya Raghunathan,2026-05,4,3.0,True,4,4
Priya Raghunathan,2026-06,1,3.0,False,1,0
Priya Raghunathan,2026-07,1,3.0,False,1,1
Tomás Beckett,2025-08,2,8.0,False,1,1
Tomás Beckett,2025-09,3,8.0,False,2,1
Tomás Beckett,2025-11,3,8.0,False,2,2
Tomás Beckett,2025-12,2,8.0,False,1,0
Tomás Beckett,2026-01,1,8.0,False,1,1
Tomás Beckett,2026-02,2,8.0,False,2,1
Tomás Beckett,2026-03,2,8.0,False,2,1
Tomás Beckett,2026-04,2,8.0,False,0,0
Tomás Beckett,2026-05,1,8.0,False,1,0
Tomás Beckett,2026-06,2,8.0,False,2,0
Yusuf Petrossian,2026-07,1,,False,1,0
