connector,on_roster,stated_monthly_capacity,requests_with_time_aware_path,requests_actually_asked,asked_where_path_observable,path_observable_never_asked
Marcus Aldridge,True,4.0,59,15,8,51
Priya Raghunathan,True,3.0,52,21,11,41
Elena Duvall,True,3.0,50,17,6,44
Owen Trask,True,2.0,42,3,3,39
Tomás Beckett,True,8.0,38,20,12,26
Dana Whitfield,True,6.0,22,4,3,19
Curtis Marchetti,False,,9,0,0,9
Amara Thackeray,False,,9,0,0,9
Priya Fairweather,False,,9,0,0,9
Margot Havercamp,False,,9,0,0,9
Ingrid Marchetti,False,,9,0,0,9
Tomás Dobrescu,False,,7,0,0,7
Yusuf Vasquez,False,,7,0,0,7
Kofi Mkhize,False,,7,0,0,7
Bertrand Lomsadze,False,,7,0,0,7
Tomás Ferreira,False,,5,0,0,5
Marcus Højgaard,False,,4,0,0,4
Bertrand Glückstein,False,,3,0,0,3
Niall Grimsby,False,,3,0,0,3
Idris Drummond,False,,3,0,0,3
Coretta Bellinger,False,,3,0,0,3
Casper Bellinger,False,,2,0,0,2
Saoirse Prendergast,False,,2,0,0,2
Kian Merriweather,False,,2,0,0,2
Ilse Mkhize,False,,1,0,0,1
Sunniva Højgaard,False,,1,0,0,1
