person_key,identity_basis,normalized_name,display_name,profile_urls,organizations,titles,appears_in_exports,export_rows,distinct_orgs,conflicting_affiliation,missing_profile_url
linkedin.com/in/amara-achterberg-5774,profile_url,amara achterberg,Amara Achterberg,linkedin.com/in/amara-achterberg-5774,Dunmowe Travel,VP Engineering,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-ashdown-7554,profile_url,amara ashdown,Amara Ashdown,linkedin.com/in/amara-ashdown-7554,Bellchamber Media,Platform Lead,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-balogun-7353,profile_url,amara balogun,Amara Balogun,linkedin.com/in/amara-balogun-7353,Vespermill Analytics,Principal Architect,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-bellinger-2569,profile_url,amara bellinger,Amara Bellinger,linkedin.com/in/amara-bellinger-2569,Dunmowe Travel,Chief Digital Officer,Dana Whitfield,1,1,False,0
name:amara brenneman,name_only,amara brenneman,Amara Brenneman,,Highmoor Cycles,Staff Engineer,Marcus Aldridge,1,1,False,1
linkedin.com/in/amara-cardoso-8120,profile_url,amara cardoso,Amara Cardoso,linkedin.com/in/amara-cardoso-8120,Quintrell Advisory,Engineering Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-cathcart-2676,profile_url,amara cathcart,Amara Cathcart,linkedin.com/in/amara-cathcart-2676,Yardley Print,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-cathcart-eastcott-2331,profile_url,amara cathcart eastcott,Amara Cathcart-Eastcott,linkedin.com/in/amara-cathcart-eastcott-2331,Corbridge Realty,VP Engineering,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-crowther-9561,profile_url,amara crowther,Amara Crowther,linkedin.com/in/amara-crowther-9561,Whitlock Staffing,Head of Automation,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-dellinger-9124,profile_url,amara dellinger,Amara Dellinger,linkedin.com/in/amara-dellinger-9124,Inglenook Bakery,Head of Platform Engineering,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-dobrescu-5141,profile_url,amara dobrescu,Amara Dobrescu,linkedin.com/in/amara-dobrescu-5141,Ondermark Consulting,Platform Lead,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-drummond-4697,profile_url,amara drummond,Amara Drummond,linkedin.com/in/amara-drummond-4697,Tannerly Design,Chief Operating Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-drummond-egerton-1523,profile_url,amara drummond egerton,Amara Drummond-Egerton,linkedin.com/in/amara-drummond-egerton-1523,Whitlock Staffing,Chief Digital Officer,Owen Trask,1,1,False,0
linkedin.com/in/amara-drummond-ibarra-9593,profile_url,amara drummond ibarra,Amara Drummond-Ibarra,linkedin.com/in/amara-drummond-ibarra-9593,Corbridge Realty,VP Data & Analytics,Elena Duvall,1,1,False,0
linkedin.com/in/amara-eastcott-8012,profile_url,amara eastcott,Amara Eastcott,linkedin.com/in/amara-eastcott-8012,Pale Harbour Studio,Head of Developer Productivity,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-egerton-7075,profile_url,amara egerton,Amara Egerton,linkedin.com/in/amara-egerton-7075,Zenner Foods,VP Enterprise Architecture,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-egerton-halloran-9413,profile_url,amara egerton halloran,Amara Egerton-Halloran,linkedin.com/in/amara-egerton-halloran-9413,Fairbourne Fitness,Principal Architect,Elena Duvall,1,1,False,0
linkedin.com/in/amara-fairweather-8394,profile_url,amara fairweather,Amara Fairweather,linkedin.com/in/amara-fairweather-8394,Bellchamber Media,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-falkenrath-2424,profile_url,amara falkenrath,Amara Falkenrath,linkedin.com/in/amara-falkenrath-2424,Highmoor Cycles,Product Director,Marcus Aldridge,1,1,False,0
