role,source,raw_name,normalized_name,stated_org,stated_title,mentions,example_context,match_tier,resolved_person_key,resolved_display_name,match_method,match_evidence,competing_candidates
connector_asked,intro_outcomes.connector_asked,Bertrand Vandermolen,bertrand vandermolen,Halyard Systems,,1,R1169,T6_unmatched,,,no_candidate,'Bertrand Vandermolen' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Curtis Hartigan,curtis hartigan,Halyard Systems,,1,R1122,T6_unmatched,,,no_candidate,'Curtis Hartigan' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Dana Whitfield,dana whitfield,Halyard Systems,,4,R1003,T6_unmatched,,,no_candidate,'Dana Whitfield' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Elena Duvall,elena duvall,Halyard Systems,,17,R1012,T6_unmatched,,,no_candidate,'Elena Duvall' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Hana Nakashima,hana nakashima,Halyard Systems,,1,R1108,T5_fuzzy_candidate_review,,,fuzzy_name_only,near-identical name 'Dana Nakashima' (similarity 92.9); requires human review,Dana Nakashima|Pale Harbour Studio|https://www.linkedin.com/in/dana-nakashima-1859
connector_asked,intro_outcomes.connector_asked,Imani Mkhize,imani mkhize,Halyard Systems,,1,R1176,T6_unmatched,,,no_candidate,'Imani Mkhize' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Marcus Aldridge,marcus aldridge,Halyard Systems,,15,R1045,T6_unmatched,,,no_candidate,'Marcus Aldridge' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Owen Trask,owen trask,Halyard Systems,,3,R1008,T6_unmatched,,,no_candidate,'Owen Trask' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Priya Raghunathan,priya raghunathan,Halyard Systems,,21,R1031,T6_unmatched,,,no_candidate,'Priya Raghunathan' has no identity in the export universe,
connector_asked,intro_outcomes.connector_asked,Tomás Beckett,tomas beckett,Halyard Systems,,20,R1020,T6_unmatched,,,no_candidate,'Tomás Beckett' has no identity in the export universe,
