request_id,requested_by,requester_role,request_date,target_company_raw,target_company_canonical_key,target_account_match_tier,crm_account_id,crm_account_name,crm_domain_group,crm_competing_candidates,domain_hints,target_person_raw,target_person_match_tier,target_title_raw,target_title_family,deal_value_usd,urgency,declared_status,declared_path_found_flag,connector_asked,routed,asked_date,connector_responded,response_date,intro_sent,intro_date,meeting_booked,opportunity_created,derived_state,state_evidence_rank,state_evidence,state_confidence,has_terminal_evidence,owner_known,next_action_known,slack_thread_present,slack_message_count,slack_reply_count,slack_intents,slack_volunteer_offer,slack_referral_suggestion,slack_bump,slack_duplicate_query,slack_explicit_state_statement,first_reply_date,first_substantive_reply_date,last_observed_activity,days_since_activity,inactivity_bucket,potentially_stale
R1001,Imani Mkhize,"Enterprise AE, West",2026-04-14,Vantage Ridge Utilities,vantageridgeutilities,B_probable_name_exact,A1007,Vantage Ridge Utilities,,,,Perrine Salcedo-Oyelaran,T6_unmatched,Chief Operating Officer,coo,400000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,4,3,bump; no_knowledge; possible_duplicate_query; referral_suggestion,False,True,True,True,False,2026-04-14,2026-04-16,2026-04-16,116,30d+,True
R1002,Imani Mkhize,"Enterprise AE, West",2025-09-14,Volney Industrial Systems,volneyindustrialsystems,B_probable_name_exact,A1049,Volney Industrial Systems,,,,Astrid Quillane-Brenneman,T6_unmatched,VP Data & Analytics,cdo_data,400000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,2,1,routing_challenge; unclassified,False,False,False,False,False,2025-09-14,,2025-09-14,330,30d+,True
R1003,Imani Mkhize,"Enterprise AE, West",2026-03-03,Redtree Foods,redtreefoods,E_unmatched,,,,,,,T6_unmatched,VP Engineering,engineering_exec,400000,High,Stalled,No path found,Dana Whitfield,True,2026-03-06,Y,2026-03-08,Y,2026-03-18,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,3,2,bump; unclassified; volunteer_offer,True,False,True,False,False,2026-03-03,2026-03-03,2026-03-18,145,30d+,False
R1004,Imani Mkhize,"Enterprise AE, West",2026-07-06,Marchford Clinics,marchfordclinics,B_probable_name_exact,A1018,Marchford Clinics,,,,Silas Mkhize-Thackeray,T6_unmatched,Head of Developer Productivity,devprod,750000,Medium,Open,Path found,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,3,2,possible_duplicate_query; routing_challenge; unclassified,False,False,False,True,False,2026-07-06,,2026-07-07,34,30d+,True
R1005,Rafael Salcedo,"AE, Transport & Logistics",2026-03-05,Ravensmoor Defense,ravensmoordefense,B_probable_name_exact,A1031,Ravensmoor Defense,,,,,T6_unmatched,Chief Data Officer,cdo_data,150000,Low,Closed - no path,No path found,,False,,,,,,,,declared_only:Closed - no path,3_declared_status_only,intro_requests.status='Closed - no path' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-03-05,158,30d+,True
R1006,Rafael Salcedo,"AE, Transport & Logistics",2026-06-07,Kingsmere Retail Group,kingsmereretail,E_unmatched,,,,,,,T6_unmatched,VP Engineering,engineering_exec,750000,High,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-06-07,64,30d+,True
R1007,Rafael Salcedo,"AE, Transport & Logistics",2026-06-01,Halcyon Grid,halcyongrid,B_probable_name_exact,A1008,Halcyon Grid,,,,,T6_unmatched,Head of Platform Engineering,platform,80000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-06-01,70,30d+,True
R1008,Yusuf Petrossian,SDR Lead,2026-01-07,Silverbrook Paper,silverbrookpaper,B_probable_shared_domain_group,,,DG_silverbrookpaper.com,A91032:Silverbrook Paper Corp; A1032:Silverbrook Paper,,Anouk Norrington-Brenneman,T6_unmatched,Chief Technology Officer,cto,2000000,High,Open,Unknown,Owen Trask,True,2026-01-07,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,3,2,qualification_question; unclassified,False,False,False,False,False,2026-01-08,,2026-01-10,212,30d+,True
R1009,Yusuf Petrossian,SDR Lead,2026-04-15,Marchford Clinics,marchfordclinics,B_probable_name_exact,A1018,Marchford Clinics,,,,,T6_unmatched,SVP Digital,cdo_digital,1200000,High,Intro sent,Path found,,False,,,,,,,,declared_only:Intro sent,3_declared_status_only,intro_requests.status='Intro sent' with no corroborating event evidence,low,False,False,False,True,4,3,no_knowledge; possible_duplicate_query; unclassified,False,False,False,True,False,2026-04-16,,2026-04-19,113,30d+,True
R1010,Bertrand Vandermolen,"AE, EMEA",2026-05-24,Larkhall Software,larkhallsoftware,B_probable_name_exact,A1022,Larkhall Software,,,,Hugo Norrington-Isenberg,T6_unmatched,Chief Technology Officer,cto,250000,Medium,Open,No path found,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,3,2,no_knowledge; unclassified,False,False,False,False,False,2026-05-24,,2026-05-28,74,30d+,True
